ID,d04,d06,d01,d02,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,uni09_05,uni09_06,Q11,Q12,nk03_02,Q13,Q14,Q15,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_08,nk08_01,nk08_06,nk08_03,nk08_04,nk08_05,nk08_05_a,nk09_01,nk09_08,nk09_05,nk09_06,nk09_09,nk09_10,nk10,nk11,Q16,Q17,nkp01_01,nkp01_02,nkp01_03,nkp01_04,nkp15_1,nkp15_2,nkp15_3,nkp15_4,nkp16,Q18,nkp17,nkp07_01_01,nkp07_03,nkp07_05_01,nkp07_06,nkp07_08,nkp07_11,nkp07_13,nkd01_11,nkd01_02,nkd01_07,nkd01_12,nkd01_08,nkd01_14,nkd01_09,nkd01_13,Q19_1,Q19_2,Q19_3,Q19_4,nkd02_05,nkd02_06,Q20,Qdf,nkd04_02,nkd04_03,nkd04_04,sk22_01,sk22_02,sk22_03,sk22_04,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,fp08_01,fp08_02,fp08_03,fp08_04,fp09_01,fp11,fp12,fp10,fp13,sk09,sk09_a,sk01,sk28_01,sk28_02,sk28_03,sk28_04,sk29_01,sk29_02,sk29_03,sk29_04,sk29_09,sk29_10,sk29_12,Q27,sk18_09,sk30_01,sk17_03,sk31,sk32_07,sk32_08,sk32_09,sk32_12,d12_raw,d07,d09_raw,d08,d10_08_15,d11,d13,d14,d15,wt
664,15,2,1,57,1,2,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,2,2,3,4,3,3,4,4,1,2,3,2,2,2,2,3,2,2,2,2,2,1,1,2,2,,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,1,2,2,2,3,2,2,2,2,3,4,4,4,3,4,4,4,4,3,3,4,4,2,2,2,2,2,2,3,2,2,3,4,1,1,1,4,3,3,3,3,4,4,4,4,4,2,2,2,2,1,3,3,2,1,3,3,8,2,3,2,2,2,3,2,2,3,2,1,3,1,,3,3,3,4,3,3,2,2,3,1,8,4,4,2,15,0.9660339820 
665,15,2,1,57,1,2,2,3,2,3,2,2,2,3,2,2,3,2,2,1,2,2,2,4,3,4,5,4,4,2,2,2,3,3,1,2,3,3,2,2,3,2,2,1,2,2,,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,1,1,1,2,2,2,3,2,2,2,2,3,2,2,4,4,4,4,4,4,4,4,4,4,1,2,3,2,2,2,3,2,3,1,4,1,3,4,3,3,3,3,3,3,4,4,4,4,1,1,1,1,2,1,4,1,1,3,3,9,3,2,3,3,2,3,3,1,1,1,1,3,1,,2,2,3,4,3,3,2,2,3,98,8,3,3,3,15,0.9660339820 
666,15,2,1,52,1,4,4,6,2,2,3,1,1,1,1,2,2,2,2,1,3,3,4,4,3,5,3,4,5,3,4,3,3,3,2,3,2,2,3,4,2,2,2,2,2,2,,2,2,2,3,4,4,2,2,2,2,2,2,2,3,3,3,3,2,1,3,3,4,4,2,2,2,3,3,4,4,4,4,2,3,3,4,4,3,2,1,1,1,2,3,3,3,1,2,4,2,1,1,3,4,1,2,3,4,3,3,3,3,2,3,3,3,2,2,2,3,4,3,3,2,3,3,4,7,3,3,2,2,2,1,3,1,2,2,3,3,1,,3,2,2,2,3,3,4,2,3,98,10,3,4,2,15,0.9660339820 
667,15,2,1,58,1,4,4,6,3,2,3,2,2,2,2,4,2,3,3,1,4,2,3,5,2,4,3,4,5,1,4,3,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,3,3,3,2,2,4,2,4,3,3,3,4,4,4,4,4,3,2,4,4,2,2,2,2,5,4,4,4,4,4,4,5,4,3,3,2,2,2,2,2,2,3,3,2,2,4,4,2,1,3,4,1,2,2,2,1,3,2,3,3,3,4,4,1,2,1,2,4,3,3,1,1,3,2,7,2,2,3,3,2,3,3,3,2,2,2,4,7,7,3,3,3,2,3,3,4,2,3,1,7,4,5,2,15,0.9660339820 
668,2,1,1,23,2,2,3,4,2,2,2,3,1,1,2,2,2,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,,3,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,3,2,2,1,5,3,4,2,2,1,2,1,2,2,3,3,2,3,3,2,3,2,2,3,3,1,1,3,3,1,1,2,2,1,3,4,1,1,2,2,3,1,1,2,2,4,4,4,4,1,2,2,2,2,2,2,2,3,2,2,6,2,2,2,3,2,2,3,2,2,2,2,2,7,1,2,2,2,2,3,2,10,1,4,98,11,3,3,3,2,1.0521822310 
669,2,1,1,29,1,5,4,6,3,2,3,2,3,3,1,4,3,3,3,2,4,4,3,5,4,5,5,4,4,1,4,4,4,4,2,3,3,3,3,3,3,2,2,2,2,2,,2,1,2,2,2,2,1,1,2,2,3,4,3,3,3,4,3,3,4,3,2,4,3,2,3,3,2,4,3,3,3,3,2,2,2,3,2,3,2,1,2,2,3,3,2,3,2,2,3,3,3,1,3,2,1,2,3,3,1,4,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,3,3,8,1,2,1,2,2,1,1,2,2,2,2,3,1,,3,2,2,3,3,3,6,2,5,1,11,3,3,2,2,1.0521822310 
670,2,1,1,25,3,5,4,6,3,4,3,3,3,3,3,3,2,3,3,1,3,4,4,4,5,5,4,4,5,1,5,3,3,3,1,3,3,3,2,3,3,2,1,1,2,2,,1,2,1,2,2,1,2,2,3,2,3,2,3,2,3,3,3,3,4,3,2,2,2,2,2,2,3,4,3,3,3,3,3,4,4,4,3,3,3,2,2,2,1,3,3,3,3,2,3,2,3,1,4,1,1,2,3,1,3,3,3,3,3,3,3,3,2,2,2,2,1,3,4,1,1,3,4,4,2,4,3,3,3,3,4,1,2,2,1,4,7,2,4,3,2,2,3,3,3,1,3,98,9,4,5,3,2,1.0521822310 
671,2,1,1,26,2,2,5,6,3,2,3,3,3,3,3,3,2,3,3,4,4,2,3,4,4,4,4,5,5,2,4,4,3,3,2,3,4,4,4,4,4,2,1,2,2,2,,1,2,3,3,3,2,2,1,2,2,2,3,2,3,2,2,2,3,2,3,2,4,3,2,2,4,2,3,3,3,3,4,2,2,3,4,3,4,4,4,3,3,2,3,3,2,2,2,3,3,3,1,4,3,1,1,1,1,3,4,2,2,3,3,2,2,2,3,3,3,4,3,2,3,3,2,2,5,4,3,4,3,2,2,3,3,2,3,2,2,7,7,3,3,3,3,3,3,4,1,3,98,10,3,5,1,2,1.0521822310 
672,2,1,1,28,1,4,5,6,2,1,2,2,1,1,2,2,1,2,2,1,2,2,4,4,5,4,4,5,4,2,4,3,3,2,2,4,3,3,4,3,3,2,2,2,2,2,,1,2,2,1,3,1,1,1,5,1,2,1,2,2,2,2,1,2,4,3,3,3,2,4,2,1,1,5,4,5,5,4,4,3,4,4,3,2,1,2,2,2,3,2,3,2,3,2,4,4,3,3,3,2,1,3,3,3,1,3,3,3,3,3,4,4,1,2,1,2,2,1,3,2,1,4,3,8,4,4,5,3,3,4,3,3,2,1,2,3,7,7,3,3,4,4,4,4,3,1,4,1,9,3,4,2,2,1.0521822310 
673,2,1,1,24,2,4,4,4,3,3,2,2,3,2,2,3,2,3,3,2,3,4,4,4,3,5,4,3,5,1,5,3,3,3,2,3,2,2,3,3,3,2,1,1,2,2,,1,1,3,3,2,1,2,1,4,2,3,2,2,3,4,3,2,3,2,2,3,3,3,3,4,3,2,3,2,3,2,2,2,2,3,3,4,5,3,3,3,3,1,3,3,4,3,3,3,3,2,1,2,2,1,4,3,1,1,3,4,1,2,4,3,3,2,3,3,2,1,1,3,1,1,3,4,8,4,4,2,2,2,2,3,1,2,3,3,2,1,,2,2,2,3,3,2,3,1,3,98,9,4,5,2,2,1.0521822310 
674,2,1,1,28,1,4,5,6,3,2,3,1,3,2,1,3,2,2,3,3,2,3,3,4,4,3,4,3,4,1,4,4,4,4,2,3,2,3,2,2,2,2,2,2,2,2,,2,1,2,3,3,3,2,2,2,2,2,2,1,4,2,3,2,3,2,3,3,3,4,3,4,3,3,4,3,3,4,3,3,3,4,2,5,5,4,3,2,2,1,3,3,3,3,3,3,3,4,1,4,4,2,2,3,2,2,3,2,2,2,3,3,3,2,3,2,3,2,1,4,2,1,3,3,8,4,4,4,3,3,2,2,3,2,3,2,2,7,7,4,3,2,2,3,3,3,1,4,98,10,3,3,2,2,1.0521822310 
675,2,1,1,35,3,4,2,4,1,2,3,1,2,2,3,2,3,2,2,3,3,2,3,4,2,5,5,5,5,2,2,3,3,3,3,3,3,2,2,2,3,2,2,2,2,1,3,1,1,3,3,3,3,2,1,2,1,3,1,2,3,2,1,3,3,1,3,2,4,3,2,3,2,3,3,2,2,3,3,3,3,3,3,4,4,3,2,2,2,2,1,2,3,2,2,2,1,2,1,4,1,1,2,2,2,1,3,2,2,3,4,4,4,1,1,2,2,2,2,3,2,1,3,3,8,1,2,3,3,2,3,2,2,2,3,2,3,7,3,3,3,3,3,3,3,6,2,3,1,8,3,4,4,15,1.0613737510 
676,2,1,1,32,1,4,4,5,4,3,4,3,3,3,1,3,3,3,3,1,2,4,4,5,4,5,4,4,4,1,4,4,4,4,2,4,3,3,4,3,3,2,2,2,2,2,,2,1,2,1,2,2,2,2,2,2,3,4,3,3,4,3,3,3,4,3,2,3,3,2,2,3,3,3,3,2,2,3,2,2,2,3,2,3,2,1,2,2,3,3,3,3,3,2,3,2,3,2,3,2,1,3,3,3,1,3,3,3,3,3,3,3,2,2,2,3,2,1,2,2,2,4,3,8,2,1,1,1,2,1,1,2,2,1,2,3,7,7,3,2,3,3,3,3,6,2,4,1,11,3,4,2,2,1.0613737510 
677,2,1,1,30,3,2,1,6,3,4,3,3,4,3,3,4,3,3,3,3,3,2,2,4,4,3,3,4,3,2,2,2,2,2,2,3,4,3,3,4,3,2,2,2,2,2,,2,1,2,3,3,2,2,2,3,2,3,3,3,3,2,2,2,2,1,2,1,2,2,3,3,2,2,4,4,4,3,4,4,4,4,3,3,2,2,1,1,1,2,3,3,2,3,3,3,2,3,1,4,3,1,1,1,1,4,3,2,2,3,3,3,3,3,3,2,2,2,1,3,2,2,2,2,6,4,3,2,3,2,2,3,3,1,2,2,2,7,7,3,2,3,3,3,3,3,1,3,98,8,3,5,3,2,1.0613737510 
678,2,1,1,34,1,4,4,5,2,1,2,2,1,1,1,3,2,2,2,1,4,3,4,5,5,5,5,4,5,1,4,3,4,3,2,2,2,2,2,2,3,2,2,2,2,2,,1,1,2,2,3,4,2,1,3,1,3,2,2,3,3,3,2,2,4,4,2,4,3,1,3,1,1,4,2,2,3,3,3,3,3,4,4,4,4,4,3,3,1,2,2,3,2,2,2,2,3,1,3,2,1,2,3,3,3,3,3,3,3,4,4,4,2,2,2,2,1,1,4,1,3,4,3,6,2,2,3,3,1,2,2,1,2,2,2,3,7,7,3,2,3,2,3,3,3,2,4,98,8,4,4,3,2,1.0613737510 
679,2,1,1,33,1,4,5,6,2,2,3,2,3,2,1,1,2,3,2,1,2,1,3,3,4,3,3,5,5,2,5,3,3,2,1,3,3,3,4,3,2,2,2,1,2,2,,1,2,1,1,3,2,1,1,4,1,2,1,1,2,2,1,2,2,4,3,2,3,2,4,1,2,1,2,2,2,3,3,3,2,3,3,4,3,1,2,1,2,2,2,3,2,2,2,4,5,3,1,3,2,1,2,3,1,1,1,2,4,3,3,4,4,1,2,1,2,1,3,1,1,3,4,3,7,4,4,4,2,2,3,2,3,1,2,2,3,7,7,3,3,3,4,3,3,3,1,4,98,10,3,3,1,2,1.0613737510 
680,2,1,1,39,1,4,4,6,2,3,3,2,2,3,1,3,2,3,1,1,4,3,3,5,4,2,3,5,3,2,4,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,,1,1,3,3,2,2,2,1,1,2,2,1,1,2,2,3,2,3,1,4,2,3,2,3,4,3,2,2,3,4,5,3,2,3,5,3,4,4,3,3,3,3,1,3,3,3,2,4,3,3,4,1,4,1,1,2,3,3,1,3,2,3,3,3,3,3,2,2,1,1,2,1,3,2,1,4,4,8,5,5,4,2,2,3,2,3,2,2,3,2,7,7,3,2,3,3,4,4,4,2,4,1,11,3,3,1,2,1.0613737510 
681,2,1,1,48,1,2,3,4,3,2,4,3,2,2,2,3,2,2,2,1,1,2,2,2,4,2,3,3,3,3,4,3,3,3,3,3,3,2,2,2,3,2,2,1,2,2,,2,1,3,2,3,3,3,1,2,2,2,2,2,2,2,1,2,2,2,3,1,4,2,3,4,2,2,2,2,2,3,3,3,3,3,3,4,5,3,3,4,3,2,1,3,3,2,2,1,2,3,1,2,1,2,2,3,3,1,3,2,3,3,3,3,3,1,1,1,2,3,2,3,2,3,2,2,6,4,4,3,4,2,2,3,4,3,3,1,2,8,5,2,3,3,3,3,3,3,2,3,99,7,3,4,2,2,1.0651077520 
682,2,1,1,42,1,3,4,3,3,3,2,3,3,2,2,2,3,2,2,1,1,3,3,4,5,4,4,5,4,1,2,2,4,3,1,3,2,2,3,2,2,2,2,1,2,2,,1,2,1,1,2,2,1,1,2,1,2,3,2,2,2,3,2,2,1,3,3,3,3,4,3,3,3,3,2,3,4,3,3,4,4,4,4,4,3,3,3,3,2,2,3,3,3,3,4,3,3,1,3,4,1,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,2,1,4,1,1,4,4,8,3,4,3,2,3,3,4,1,2,2,1,3,2,,4,4,4,3,3,3,3,1,3,98,6,4,4,3,2,1.0651077520 
683,2,1,1,47,2,1,3,5,3,3,2,2,3,3,2,3,3,3,2,1,2,2,2,4,4,3,3,2,3,2,2,3,3,3,3,4,3,3,3,3,3,2,2,2,2,2,,3,3,2,2,3,2,2,2,3,2,3,3,3,2,3,3,3,3,2,2,2,2,3,4,3,2,3,3,4,3,3,3,2,2,3,4,3,3,3,3,2,1,3,2,3,3,2,2,3,3,3,1,4,3,1,1,1,1,3,4,2,3,3,3,3,3,2,2,3,3,2,3,3,3,1,2,2,6,4,4,3,4,3,3,2,2,3,3,2,3,7,7,3,3,3,2,3,3,2,2,3,98,7,4,5,2,2,1.0651077520 
684,2,1,1,48,1,5,4,5,2,1,3,2,1,1,1,3,2,2,2,1,4,3,3,5,5,5,5,4,5,1,4,4,4,3,3,2,2,2,2,2,3,2,2,2,2,2,,1,1,2,2,3,4,3,1,3,1,2,2,2,3,2,2,2,3,1,3,2,2,1,3,3,3,2,2,2,2,3,3,3,4,4,5,4,4,4,3,3,3,1,2,2,3,2,2,4,2,2,1,3,1,1,2,3,3,3,3,3,3,3,4,4,4,1,2,1,2,1,3,3,1,1,3,4,6,2,2,2,3,2,2,3,1,2,3,2,5,7,7,3,2,3,3,3,4,2,2,4,98,7,5,5,2,2,1.0651077520 
685,2,1,1,47,1,3,3,4,2,1,3,2,1,2,1,2,1,1,2,1,2,2,3,3,2,2,3,4,4,2,2,2,2,2,1,3,2,3,3,3,2,2,2,1,2,2,,1,1,2,1,3,2,1,1,4,2,1,2,2,1,3,2,2,2,4,2,2,4,2,4,1,2,1,4,2,2,3,4,5,2,3,5,4,4,1,2,1,2,3,3,4,2,3,2,4,5,3,3,3,1,1,2,3,2,1,3,2,4,3,4,4,3,1,1,1,1,2,1,2,2,3,3,3,8,4,5,4,3,3,4,2,3,1,2,3,3,7,7,3,2,4,3,4,4,4,2,4,1,9,3,4,2,2,1.0651077520 
686,2,1,1,42,1,2,3,6,3,2,2,2,2,2,1,3,3,3,3,3,5,3,4,4,3,2,4,5,5,3,1,3,4,3,4,3,2,3,4,3,3,2,1,1,2,2,,1,1,3,3,3,4,2,1,3,1,3,1,2,3,4,3,3,3,4,4,2,4,5,3,2,2,1,5,2,2,2,3,2,3,2,3,4,4,3,3,3,3,1,3,3,4,4,4,2,3,3,1,4,1,2,3,3,2,1,3,2,4,1,4,4,3,2,3,2,3,2,1,3,2,3,4,4,7,4,4,3,3,1,2,3,2,2,3,4,3,5,,3,3,3,2,4,3,6,2,4,98,10,3,4,2,2,1.0651077520 
687,2,1,1,41,2,2,3,6,1,2,3,3,3,3,1,1,2,3,2,3,4,1,4,5,4,3,4,4,4,2,3,2,2,2,2,2,2,3,3,3,2,2,2,1,2,2,,1,1,3,3,3,1,3,1,3,2,1,1,1,4,2,2,3,3,1,3,1,3,4,3,3,4,3,3,2,4,4,5,3,3,5,4,4,5,3,2,1,3,1,3,3,2,2,3,4,3,4,1,4,1,2,4,4,3,4,3,3,4,2,4,3,4,2,2,2,2,1,3,4,2,1,3,3,9,4,3,3,3,3,2,3,2,2,2,2,2,7,7,4,3,4,3,4,4,2,2,99,1,9,3,2,2,2,1.0651077520 
688,2,1,1,56,2,2,3,4,1,1,4,2,2,1,1,2,2,1,2,1,3,2,3,4,4,3,5,4,5,2,4,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,2,1,2,2,2,4,2,2,2,2,2,2,1,2,3,3,1,3,3,5,5,4,5,4,3,4,1,2,2,3,3,2,3,3,5,5,5,4,4,4,1,2,4,3,1,2,3,2,2,1,3,1,1,3,4,4,1,1,2,2,3,3,3,3,1,1,1,1,2,2,2,3,1,2,3,4,3,4,3,3,2,3,3,2,2,2,2,3,2,,3,2,3,3,3,3,2,2,4,1,10,4,4,2,2,0.9800809280 
689,2,1,1,59,1,4,4,5,3,2,3,2,2,2,1,3,3,3,3,2,4,3,3,4,3,5,5,4,4,1,4,3,3,4,1,3,3,3,3,3,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,2,4,4,2,2,3,3,3,3,2,2,3,2,3,2,3,3,3,2,1,2,2,3,3,3,3,3,3,4,3,3,2,3,3,1,3,3,3,1,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,3,4,3,9,2,1,1,1,2,2,1,2,2,2,2,3,7,2,4,3,3,3,3,3,6,2,4,1,12,2,3,2,2,0.9800809280 
690,2,1,1,55,1,3,3,3,2,3,3,2,3,3,2,2,3,2,2,1,1,3,3,4,5,5,5,5,4,2,2,2,4,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,2,1,2,2,1,1,3,3,3,4,3,4,3,4,4,4,2,4,3,2,2,3,3,2,3,3,3,3,3,3,2,4,4,4,4,4,4,3,4,4,2,3,3,3,3,2,3,3,3,1,4,3,1,2,3,1,1,3,3,1,3,3,3,3,2,3,1,3,4,1,3,2,1,4,4,8,4,2,2,2,3,3,4,1,2,3,1,3,2,,4,4,4,4,4,4,2,2,3,98,8,4,4,2,15,0.9800809280 
691,2,1,1,56,1,4,5,6,3,3,4,4,3,3,4,3,3,3,3,1,4,2,2,4,4,5,4,3,4,3,4,3,3,3,3,3,2,4,3,3,2,2,2,2,2,2,,1,1,1,2,2,2,2,1,2,3,3,2,3,3,3,3,2,3,4,3,2,2,3,4,2,3,2,2,4,3,3,4,2,2,3,3,2,2,2,1,1,1,2,3,2,3,2,3,3,4,3,1,4,3,1,2,3,2,3,4,2,3,3,3,2,3,3,3,3,3,2,1,2,3,2,2,2,5,4,3,3,4,3,4,3,4,3,3,3,3,2,,3,3,3,3,4,3,4,2,3,98,5,3,6,2,14,0.9800809280 
692,2,1,1,59,1,4,5,5,2,1,3,2,1,1,1,3,2,1,2,1,4,3,4,5,4,5,5,4,5,1,4,3,4,4,2,2,2,2,2,2,3,2,2,1,2,2,,1,1,1,1,3,4,2,1,3,1,3,2,2,2,3,3,3,3,2,3,2,2,1,3,4,2,1,4,2,3,4,3,3,4,4,4,5,5,3,3,1,2,1,2,2,3,2,2,4,2,2,1,4,1,1,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,1,1,3,2,1,2,2,8,2,3,3,3,2,2,3,2,3,2,2,4,7,7,3,2,3,3,3,3,2,2,3,98,9,4,4,3,2,0.9800809280 
693,2,1,1,55,1,3,3,2,1,1,2,1,2,3,2,2,1,2,2,1,5,2,3,4,3,2,3,4,4,2,4,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,,1,1,2,1,3,2,1,1,5,2,2,1,2,2,2,2,1,2,4,3,2,3,2,4,2,1,1,4,2,3,3,4,4,2,3,5,3,4,1,2,1,2,2,3,4,1,3,2,4,5,3,1,2,1,1,2,3,1,3,3,2,4,3,4,4,3,1,1,2,1,2,1,2,2,1,3,3,8,4,5,4,2,3,3,3,4,1,2,2,4,7,7,3,3,4,3,3,4,2,2,3,1,9,3,3,1,14,0.9800809280 
694,2,1,1,59,2,4,4,4,2,2,2,3,3,2,2,3,2,3,2,1,1,4,4,5,3,5,4,5,5,1,2,3,3,2,3,3,3,3,4,3,3,2,1,1,2,2,,1,1,3,2,3,2,4,1,2,2,3,1,2,2,3,3,3,3,2,3,2,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,4,3,2,2,2,1,2,3,3,3,2,2,2,3,1,2,1,1,4,3,3,3,3,3,3,3,4,4,3,2,2,2,2,1,3,3,2,3,3,4,6,3,3,3,3,2,1,2,1,3,3,1,5,2,,3,2,3,3,4,4,2,2,3,1,10,4,5,1,2,0.9800809280 
695,2,1,1,58,1,3,2,4,1,1,3,2,1,3,1,2,2,3,2,1,1,3,3,4,4,2,5,5,4,1,4,3,3,3,2,2,2,3,3,4,3,2,2,1,2,2,,1,1,2,3,2,2,2,1,2,1,2,2,1,3,2,1,4,3,1,3,2,4,2,2,3,1,2,5,4,4,4,3,2,2,4,3,5,5,2,2,1,3,2,3,3,3,2,4,3,3,2,1,4,1,1,2,3,3,3,3,2,2,2,4,3,4,1,2,2,2,1,1,4,2,3,2,3,9,4,4,3,3,2,3,2,2,3,3,2,3,7,7,4,3,3,3,4,4,2,2,3,3,8,3,3,2,2,0.9800809280 
696,2,1,1,73,1,1,1,4,1,1,3,2,1,1,2,3,2,2,2,1,4,1,2,2,2,2,3,4,4,1,2,3,4,4,3,3,3,2,2,2,3,2,2,2,2,2,,1,1,2,2,3,3,2,4,2,2,3,1,1,2,3,2,3,3,3,2,1,4,3,4,4,3,4,3,2,1,2,3,3,2,2,3,5,5,5,5,5,5,2,2,4,2,2,4,2,2,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,4,3,3,2,1,2,2,6,3,2,2,3,2,3,3,2,1,2,2,3,4,,3,2,3,2,3,2,12,2,3,3,4,3,5,2,2,0.9737172240 
697,2,1,1,68,1,1,3,3,2,2,4,1,2,2,2,2,3,2,2,1,1,2,2,2,2,4,4,4,4,4,2,2,2,2,3,3,3,2,2,2,3,2,2,2,2,2,,1,1,2,2,3,3,2,4,2,2,2,3,2,2,2,1,2,2,2,2,2,4,4,4,3,3,2,3,2,2,2,2,2,2,2,3,5,5,4,3,4,2,1,2,3,2,3,4,3,2,3,1,3,2,3,3,4,4,1,1,2,2,3,3,3,3,1,1,1,1,4,2,3,2,1,2,3,8,3,4,3,3,2,3,3,1,2,3,3,3,2,,3,2,2,2,3,3,12,2,3,2,5,3,5,2,2,0.9737172240 
698,2,1,1,69,1,4,4,5,3,2,4,3,3,3,1,4,3,3,3,1,4,3,3,4,4,5,5,5,4,1,4,3,3,3,2,4,3,3,3,3,2,2,2,2,2,2,,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,3,2,4,4,2,2,3,3,4,3,2,3,2,2,2,2,3,3,3,2,2,2,2,2,3,2,3,3,4,4,3,3,1,3,3,1,2,3,3,1,4,3,3,3,3,3,3,2,2,2,3,2,2,2,2,1,4,3,8,2,1,1,2,2,2,1,2,2,2,2,3,7,2,3,3,2,2,3,3,2,2,3,1,6,4,4,2,14,0.9737172240 
699,2,1,1,69,1,4,4,6,2,2,3,3,3,2,1,1,2,3,3,1,3,3,3,5,4,5,4,4,5,1,2,3,3,3,2,3,3,2,2,2,2,2,2,1,2,2,,1,1,1,2,2,2,1,2,3,2,2,3,3,2,3,3,2,2,2,3,2,4,4,4,3,2,3,2,2,3,3,4,4,4,4,4,4,4,4,3,4,4,2,3,3,3,3,2,3,2,2,1,3,2,1,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,3,3,3,2,4,4,6,4,2,3,3,3,3,4,1,1,2,1,3,2,,4,3,3,3,3,3,2,2,3,98,3,4,5,2,15,0.9737172240 
700,2,1,1,63,2,3,4,6,3,4,4,4,3,3,4,3,3,3,3,1,3,3,3,4,4,3,4,5,5,1,3,3,3,2,2,3,2,3,2,3,3,2,2,1,2,2,,1,1,1,2,3,3,2,2,2,2,3,4,3,3,3,2,3,3,2,2,2,4,4,1,2,4,3,3,4,4,4,4,4,3,4,4,2,2,1,3,1,1,2,3,3,2,3,2,3,4,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,2,3,3,4,5,2,3,2,3,3,3,2,3,4,3,2,2,7,8,3,3,3,2,3,3,12,2,2,1,5,3,5,2,14,0.9737172240 
701,2,1,1,63,1,2,3,6,1,1,4,2,1,1,1,3,1,2,2,3,3,3,3,5,4,4,4,3,4,1,5,4,4,4,2,2,2,2,2,2,2,1,1,2,2,2,,1,1,1,1,1,1,1,1,5,1,3,3,3,2,3,3,3,3,4,4,1,3,3,1,5,1,1,5,2,3,3,3,3,3,5,5,5,5,5,5,5,5,2,1,2,4,2,3,3,2,3,1,4,1,1,2,4,4,1,3,2,2,3,3,4,4,1,2,3,3,2,1,4,1,1,3,3,5,2,1,3,3,2,4,3,2,2,2,3,5,2,,3,3,3,2,4,4,12,2,3,98,4,5,5,4,2,0.9737172240 
702,2,1,1,60,1,3,3,3,3,2,3,2,3,2,1,3,2,2,2,1,2,1,2,2,4,2,3,4,5,2,2,2,4,2,1,3,2,2,3,3,2,2,2,1,2,2,,2,1,1,2,3,2,1,1,5,2,1,2,2,1,2,2,1,2,2,3,2,2,2,4,1,1,1,2,3,2,3,4,3,2,3,4,3,4,1,2,1,1,2,2,3,2,2,2,4,4,2,1,4,1,1,1,3,3,3,3,3,3,3,3,4,3,1,1,1,2,1,3,1,1,3,4,3,8,5,4,3,2,3,4,1,3,1,1,2,3,7,7,3,3,4,3,4,3,2,2,3,1,8,3,3,1,2,0.9737172240 
703,2,1,1,69,1,4,4,5,3,2,3,2,2,1,1,2,2,2,2,1,1,3,3,5,3,4,5,5,5,1,4,3,3,4,2,2,2,2,2,3,3,2,2,2,2,2,,1,1,2,2,3,3,2,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,3,1,1,2,2,2,3,3,3,3,3,3,5,5,3,3,2,3,1,1,2,3,2,2,3,2,3,1,4,1,1,2,3,3,3,3,3,3,3,4,4,4,1,1,1,1,1,1,3,2,1,3,3,7,2,1,3,3,2,2,2,3,2,2,2,4,2,,3,3,3,2,3,3,12,2,2,98,3,4,5,3,15,0.9737172240 
704,2,1,1,67,1,5,4,6,2,2,3,2,2,1,2,2,3,3,3,1,4,4,3,5,4,5,5,3,5,1,1,2,2,2,4,4,3,3,4,3,4,2,1,2,2,2,,1,1,3,2,2,4,3,1,3,1,3,2,2,2,3,2,2,2,2,2,1,5,5,3,4,2,2,4,4,3,3,4,2,3,2,3,1,3,2,1,1,1,2,3,4,2,3,3,1,3,3,1,4,2,1,1,4,2,1,3,2,3,2,2,4,3,2,2,2,3,4,3,3,2,1,3,4,6,3,3,3,3,4,1,3,1,3,3,1,1,1,,1,2,1,2,3,1,4,2,2,1,7,4,6,1,15,0.9737172240 
